id,firmannualreportid,age,yearjoinedfirm
1,1,46.0,2008.0
2,1,41.0,2013.0
3,2,36.0,2013.0
4,2,40.0,2060.0
5,5,44.0,2060.0
6,5,44.0,2060.0
7,8,30.0,2014.0
8,8,40.0,2016.0
9,8,57.0,2016.0
10,9,30.0,2014.0
11,9,36.0,2015.0
12,9,40.0,2016.0
13,9,55.0,2015.0
14,10,38.0,2010.0
15,11,40.0,2006.0
16,14,58.0,2009.0
17,14,31.0,2004.0
18,14,59.0,1999.0
19,14,59.0,2009.0
20,14,30.0,2013.0
21,14,68.0,2004.0
22,15,28.0,2015.0
23,15,58.0,2005.0
24,15,38.0,2012.0
25,16,40.0,2010.0
26,16,34.0,2008.0
27,17,34.0,2008.0
28,18,34.0,2008.0
29,19,50.0,2004.0
30,19,50.0,2001.0
31,19,50.0,2005.0
32,19,55.0,2007.0
33,20,50.0,2004.0
34,20,50.0,2001.0
35,20,50.0,2005.0
36,20,55.0,2007.0
37,21,60.0,1994.0
38,21,50.0,1994.0
39,21,70.0,1994.0
40,21,60.0,1994.0
41,21,60.0,1994.0
42,24,38.0,2011.0
43,24,30.0,2014.0
44,24,28.0,2012.0
45,25,38.0,2011.0
46,25,30.0,2014.0
47,25,28.0,2012.0
48,26,34.0,2011.0
49,26,32.0,2014.0
50,26,30.0,2012.0
51,26,34.0,2016.0
52,33,50.0,1995.0
53,33,48.0,1998.0
54,33,42.0,2002.0
55,33,34.0,2010.0
56,34,60.0,1990.0
57,34,45.0,2005.0
58,37,21.0,2013.0
59,38,60.0,1984.0
60,38,44.0,1984.0
61,39,42.0,2011.0
62,39,47.0,2006.0
63,40,42.0,2011.0
64,40,47.0,2006.0
65,45,46.0,1999.0
66,45,34.0,2010.0
67,45,52.0,1999.0
68,45,52.0,1999.0
69,45,26.0,2010.0
70,51,65.0,2060.0
71,52,51.0,2014.0
72,52,60.0,2014.0
73,52,50.0,2015.0
74,55,34.0,2012.0
75,55,32.0,2015.0
76,55,41.0,2013.0
77,55,28.0,2015.0
78,55,44.0,2060.0
79,55,44.0,2060.0
80,61,40.0,2011.0
81,73,35.0,2000.0
82,73,31.0,2010.0
83,73,29.0,2012.0
84,75,47.0,2060.0
85,75,44.0,2060.0
86,78,40.0,2007.0
87,79,54.0,2012.0
88,79,29.0,2014.0
89,79,29.0,2010.0
90,81,33.0,2015.0
91,82,33.0,2015.0
92,83,46.0,1998.0
93,83,34.0,2000.0
94,83,70.0,1998.0
95,83,74.0,2004.0
96,84,60.0,2013.0
97,84,45.0,2013.0
98,84,38.0,2015.0
99,85,60.0,2012.0
100,86,60.0,2012.0
101,90,38.0,2007.0
