id,employeecount
1,14
2,11
3,11
4,4
5,7
6,6
7,7
8,11
9,1095
10,1095
11,16
12,7
13,7
14,7
15,15
16,13
17,16
18,10
19,10
20,22
21,22
22,39
23,5
24,5
25,20
26,21
27,524308
28,7
29,524297
30,524297
31,10
32,7
33,4
34,13
35,6
36,3
37,106
38,12
39,19
40,19
41,19
42,3
43,3
44,0
45,4
46,4
47,127
48,7
49,3
50,7
51,12
52,13
53,97
54,15
55,4
56,4
57,0
58,27
59,5
60,11
61,11
62,8
63,3
64,11
65,4
66,7
67,9
68,2
69,4
70,4
71,6
72,524291
73,3
74,4
75,10
76,31
77,6
78,10
79,31
80,3
81,6
82,12
83,7
84,7
85,7
86,11
87,114
88,21
89,21
90,7
91,7
92,4
93,14
94,92
95,6
96,6
97,23
98,23
99,73
100,22
101,56
102,73
103,32
104,32
105,6
106,19
107,26
108,8
109,7
110,11
111,4
112,4
113,6
114,2048
115,13
116,13
117,12
118,4
119,2
120,6
121,135
122,5
123,17
124,2
125,2
126,524291
127,6
128,28
129,5
130,5
131,8
132,8
133,8
134,8
135,25
136,11
137,17
138,16
139,5
140,4
141,4
142,262148
143,6
144,21
145,3
146,2
147,11
148,11
149,7
150,10
151,7
152,10
153,18
154,18
155,11
156,11
157,9
158,28
159,21
160,6
161,69
162,5
163,8
164,8
165,7
166,10
167,7
168,5
169,7
170,6
171,6
172,3
173,1031
174,14
175,157
176,3
177,3
178,3
179,11
180,11
181,29
182,8
183,7
184,10
185,12
186,2
187,3
188,2
189,8
190,8
191,3
192,3
193,3
194,4
195,17
196,4
197,3
198,6
199,6
200,3
201,108
202,108
203,9
204,7
205,7
206,4
207,4
208,4
209,6
210,6
211,6
212,8
213,8
214,6
215,6
216,6
217,25
218,25
219,25
220,25
221,25
222,51
223,4
224,14
225,11
226,26
227,13
228,7
229,3
230,5
231,8
232,10
233,10
234,22
235,20
236,13
237,1037
238,6
239,15
240,4
241,11
242,2
243,9
244,37
245,31
246,47
247,37
248,47
249,0
250,0
