Id,Aum,DiscretionaryInvestmentAumPercent,AverageBasisPointsForAdvisory
1,475000000.0,43.0,0.0
2,345000000.0,54.0,80.0
4,102020000.0,100.0,0.0
5,202020000.0,100.0,0.0
6,220000000.0,100.0,75.0
7,90000000.0,0.0,0.0
8,600000000.0,90.0,0.0
9,675000000.0,90.0,0.0
10,700000000.0,0.0,0.0
11,201062425.0,0.0,0.0
12,320000000.0,100.0,0.0
13,320000000.0,100.0,0.0
14,320000000.0,100.0,0.0
15,700000000.0,0.0,0.0
16,750000000.0,100.0,0.0
17,190000000.0,0.0,0.0
18,190000000.0,85.0,0.0
19,190000000.0,85.0,0.0
20,523884917.0,100.0,0.0
21,523884917.0,100.0,0.0
22,68364632.0,0.0,0.0
23,68364632.0,50.0,0.0
24,68364632.0,50.0,0.0
25,462570471.27,40.0,0.0
26,493145417.03,42.0,0.0
27,510668003.73,42.0,1.0
28,79000000.0,0.0,0.0
29,96536868.91,0.0,150.0
30,96536868.91,0.0,150.0
31,315585735.0,0.0,0.0
32,119325999.0,0.0,0.0
33,94000.0,50.0,0.0
34,250000000.0,80.0,0.0
36,33000000.0,0.0,0.0
37,1700000000.0,100.0,0.0
38,175000000.0,75.0,0.0
39,68364632.0,0.0,0.0
40,1100000000.0,0.0,0.0
41,1100000000.0,0.0,0.0
42,19800000.0,0.0,0.0
43,56000000.0,100.0,0.0
45,59000000.0,100.0,0.0
46,58000000.0,100.0,0.0
47,1400000000.0,10.0,0.0
48,73000000.0,0.0,0.0
49,46000000.0,0.0,0.0
50,180000000.0,0.0,0.0
51,367000000.0,0.0,0.0
52,440000000.0,10.0,0.0
53,523884917.0,95.0,0.0
54,302000000.0,30.0,0.0
55,98000000.0,91.0,0.0
56,36000000.0,0.0,0.0
57,25000000.0,0.0,0.0
58,1446729195.0,90.0,0.0
59,300000000.0,100.0,0.0
60,158000000.0,100.0,0.0
61,165000000.0,100.0,0.0
62,200000000.0,40.0,0.0
63,20656000.0,100.0,0.0
64,600000.0,83.0,0.0
65,47184116.0,20.0,0.0
66,5000000.0,100.0,0.0
67,30000000.0,0.0,0.0
68,5000000.0,0.0,0.0
69,160000000.0,20.0,0.0
70,165000000.0,40.0,0.0
71,43000000.0,100.0,0.0
72,69000.0,0.0,1.25
73,69000000.0,63.0,125.0
74,45.0,0.0,0.0
75,300000000.0,99.0,0.0
76,672524118.0,0.0,0.0
77,246000000.0,0.0,0.0
78,300000000.0,99.0,0.0
79,672524118.0,0.0,0.0
80,24599654.0,0.0,0.0
81,50000000.0,100.0,0.0
82,275000000.0,100.0,0.0
83,104530000.0,100.0,0.0
84,104530000.0,100.0,0.0
85,104530000.0,100.0,0.0
86,165469644.0,80.0,0.0
87,2250000.0,98.0,0.0
88,301224.0,100.0,0.0
89,301224.0,100.0,0.0
90,1500000.0,0.0,0.0
91,150000000.0,0.0,0.0
92,50000000.0,86.0,0.0
93,750000000.0,100.0,0.0
94,1400000000.0,0.0,0.0
95,82.0,100.0,0.0
96,150000000.0,100.0,0.0
97,505608382.0,92.0,0.0
98,500634428.0,90.0,0.0
99,1650000000.0,100.0,0.0
100,700000000.0,100.0,0.78
101,2300000000.0,99.0,0.79
102,1650000000.0,100.0,0.0
103,475000000.0,100.0,0.0
104,475000000.0,100.0,0.0
105,170000000.0,100.0,0.0
106,655000000.0,100.0,0.0
107,632000000.0,100.0,0.0
108,90500000.0,100.0,0.0
109,92000000.0,0.0,0.0
110,205000000.0,100.0,0.0
111,57000000.0,100.0,0.0
112,90000000.0,100.0,67.0
113,80265000.0,100.0,0.0
115,270000000.0,100.0,0.0
116,270000000.0,100.0,0.0
117,150000000.0,75.0,0.0
118,90000000.0,0.0,0.0
119,1000000.0,100.0,0.0
120,240000000.0,96.82,0.0
122,34918549.0,0.0,0.0
123,400000000.0,80.0,0.0
124,155000000.0,0.0,0.0
125,185000000.0,0.0,0.0
126,240000000.0,0.0,0.8
127,200000000.0,100.0,0.0
128,14000000000.0,10.0,0.0
129,180000000.0,0.0,0.0
130,190000000.0,0.0,0.0
131,211650310.0,39.0,0.0
132,214618507.0,64.0,0.0
133,68258373.0,79.0,0.0
134,72000000.0,64.0,0.0
136,400000000.0,30.0,0.0
137,441576357.2,100.0,0.0
138,473467.52,100.0,0.0
139,202984099.0,100.0,0.0
140,110000000.0,25.0,0.0
141,112000000.0,25.0,0.0
142,150000000.0,40.0,1.1
143,74000000.0,100.0,0.0
144,1150000000.0,83.0,0.0
145,1000000.0,100.0,0.0
146,22000000.0,0.0,0.0
147,825000000.0,0.0,0.0
148,825000000.0,0.0,0.0
149,1000000000.0,10.0,60.0
150,65000000.0,92.0,0.0
151,76000000.0,100.0,0.8
152,130000000.0,0.0,0.0
153,310000000.0,70.0,0.0
154,310000000.0,70.0,0.0
155,215000000.0,0.0,0.0
156,215000000.0,0.0,0.0
157,230000000.0,10.0,0.0
158,3674685000.0,83.0,0.0
159,900000000.0,30.0,0.0
160,105000000.0,0.0,0.0
161,138000000.0,0.0,1.0
162,82900000.0,52.0,0.0
163,130000000.0,45.0,0.0
164,130000000.0,45.0,0.0
165,172600000.0,98.0,0.0
166,167639866.21,98.0,0.0
167,135000000.0,15.0,0.0
168,135000000.0,15.0,0.0
169,187000000.0,0.0,0.0
170,212000000.0,0.0,0.0
171,235000000.0,0.0,1.0
172,80000000.0,100.0,0.0
173,250000000.0,100.0,0.8
174,2179730.0,0.0,0.0
175,100000.0,50.0,85.0
176,86000000.0,0.0,0.0
177,86000000.0,0.0,0.0
178,96000000.0,0.0,0.0
179,175000000.0,100.0,0.0
180,175000000.0,100.0,0.0
181,625000000.0,95.0,0.0
182,330000000.0,0.0,0.0
183,200000000.0,0.0,0.0
184,200000000.0,0.0,0.0
186,67000000.0,100.0,0.0
187,102631416.0,0.0,0.0
188,102000000.0,0.0,0.0
189,188048400.0,0.0,0.0
190,165000000.0,0.0,0.0
191,50321894.0,99.3,0.0
192,53925341.0,98.0,1.08
193,53925341.0,98.0,1.12
