Id,OtherPercent,EquityPercent,FixedIncomePercent,MutualFundsPercent,MunicipalsPercent,CommoditiesPercent,ManagedMoneyPercent,InsurancePercent,AnnuityPercent,FinancialPlanningAndConsultingPercent,OtherServicesPercent
1,0.0,0.0,0.0,29.0,0.0,4.0,57.0,0.0,10.0,0.0,0.0
2,0.0,50.0,20.0,20.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0
4,0.0,20.0,20.0,50.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0
5,0.0,20.0,20.0,50.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0
6,0.0,15.0,0.0,25.0,5.0,0.0,20.0,10.0,0.0,25.0,0.0
7,0.0,5.0,8.0,53.0,0.0,0.0,22.0,2.0,9.0,1.0,0.0
8,0.0,0.0,0.0,50.0,0.0,0.0,0.0,5.0,0.0,5.0,40.0
9,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,50.0,40.0
12,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,20.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,20.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,20.0,0.0
15,0.0,34.0,3.0,34.0,3.0,0.0,0.0,3.0,3.0,0.0,20.0
16,0.0,15.0,0.0,30.0,0.0,5.0,33.0,5.0,0.0,10.0,2.0
17,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
18,0.0,10.0,2.0,14.0,5.0,1.0,60.0,3.0,0.0,5.0,0.0
19,0.0,10.0,2.0,14.0,5.0,1.0,60.0,3.0,0.0,5.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,3.0,2.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,3.0,2.0,0.0
22,0.0,77.0,0.0,9.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0
23,0.0,77.0,0.0,9.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0
24,0.0,40.0,6.0,9.0,0.0,0.0,20.0,10.0,15.0,0.0,0.0
25,0.0,0.45,6.51,14.83,0.18,0.0,47.95,0.05,18.39,0.0,0.21
26,0.0,1.55,6.3,16.94,0.11,0.0,58.5,0.1,16.3,0.0,0.2
27,0.0,1.32,7.24,8.59,0.07,0.32,65.95,0.07,16.44,0.0,0.0
28,0.0,17.57,3.38,0.53,0.0,0.0,42.81,27.45,7.57,0.0,0.69
29,0.0,11.53,1.51,1.26,0.0,0.0,72.01,1.1,11.47,0.0,1.11
30,0.0,11.82,1.84,1.25,0.0,0.0,79.2,1.37,3.51,0.0,1.01
31,0.0,2.45,0.14,25.07,1.84,0.0,10.56,0.13,59.68,0.0,0.13
32,0.0,2.0,2.0,1.0,1.0,0.0,94.0,0.0,0.0,0.0,0.0
33,0.0,10.0,5.0,25.0,0.0,0.0,50.0,0.0,5.0,0.0,0.0
34,0.0,65.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
36,0.0,0.05,2.35,65.77,0.0,0.0,3.12,0.0,22.33,0.0,6.38
37,0.0,15.0,15.0,50.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0
38,0.0,7.0,6.0,7.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0
39,0.0,77.0,0.0,9.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0
40,0.0,0.0,0.0,75.0,10.0,0.0,10.0,0.0,0.0,0.0,5.0
41,0.0,0.0,0.0,75.0,10.0,0.0,10.0,0.0,0.0,0.0,5.0
42,0.0,4.0,5.0,73.0,4.0,0.0,0.0,0.0,14.0,0.0,0.0
43,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,15.0,0.0,5.0,15.0,14.0,50.0,1.0,0.0
48,0.0,0.0,0.0,14.0,0.0,0.0,40.0,1.0,25.0,20.0,0.0
49,0.0,0.0,0.0,80.0,0.0,0.0,9.0,0.0,11.0,0.0,0.0
50,0.0,1.5,1.5,20.0,0.0,0.0,75.0,2.0,0.0,0.0,0.0
51,0.0,1.5,1.5,20.0,0.0,0.0,75.0,0.0,2.0,0.0,0.0
52,0.0,1.5,1.5,20.0,0.0,0.0,75.0,0.0,2.0,0.0,0.0
53,0.0,0.0,0.0,0.0,0.0,0.0,94.0,0.0,1.0,5.0,0.0
54,0.0,0.03,0.02,6.35,0.0,23.23,25.42,0.97,43.2,0.0,0.78
55,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0
56,0.0,0.0,0.0,5.0,0.0,0.0,0.0,45.0,45.0,0.0,5.0
58,0.0,45.0,12.0,25.0,15.0,3.0,0.0,0.0,0.0,0.0,0.0
59,0.0,70.0,20.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
60,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,6.0,4.0,0.0
61,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,6.0,4.0,0.0
62,0.0,0.0,0.0,0.0,0.0,0.0,55.0,34.0,8.0,0.0,3.0
63,0.0,65.0,30.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
64,0.0,0.0,0.0,70.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0
65,0.0,3.0,0.0,10.0,2.0,5.0,20.0,0.0,60.0,0.0,0.0
66,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
67,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
68,0.0,40.0,0.0,15.0,0.0,5.0,5.0,10.0,25.0,0.0,0.0
