Id,Year,CashflowValue,NetBalanceSheet,TotalValue,NetRevenue,OperatingExpenses,IncomeFromOperations,Ebitda,Eboc,TruelyticsScore,DiscountRate,ComparablesId,GrowthRateId,ExpenseRatioId,DiscountFactorId,BusinessStabilityId,MarketStabilityId,ClientStabilityId,ProFormaId
1,2014,7208357.66081,0.0,7208357.66081,2350000.0,557000.0,1793000.0,1830000.0,2360000.0,2.94433333333,30.3,1,1,1,1,1,3,2,1
2,2014,3905339.13344,0.0,3905339.13344,1320000.0,752933.0,567067.0,567067.0,692900.0,2.38883333333,31.9,2,2,2,2,4,6,5,2
4,2014,1549818.48597,0.0,1549818.48597,662674.0,392050.0,270624.0,294924.0,473224.0,2.38866666667,33.2,4,4,4,4,10,12,11,4
5,2015,1376341.9685,0.0,1376341.9685,662674.0,392050.0,270624.0,294924.0,473224.0,2.38866666667,32.5,5,5,5,5,13,15,14,5
6,2016,3986275.06069,0.0,3986275.06069,1443750.0,511050.0,932700.0,957000.0,1207000.0,3.0555,28.9,6,6,6,6,16,18,17,6
7,2015,845831.110194,10000.0,855831.110194,550000.0,240000.0,310000.0,310000.0,310000.0,2.44466666667,33.0,7,7,7,7,19,21,20,7
8,2014,10842760.2659,0.0,10842760.2659,2100000.0,879000.0,1221000.0,1296000.0,2296000.0,3.0,28.8,8,8,8,8,22,24,23,8
9,2015,19403781.6484,0.0,19403781.6484,2600000.0,2254000.0,346000.0,421000.0,1421000.0,3.00016666667,26.8,9,9,9,9,25,27,26,9
11,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.66666666667,0.0,11,11,11,11,31,33,32,11
12,2014,4407848.44038,50000.0,4457848.44038,2356000.0,1266888.0,1089112.0,1092088.0,1292088.0,2.4445,31.3,12,12,12,12,34,36,35,12
13,2015,0.0,50000.0,0.0,2236000.0,1266888.0,969112.0,972088.0,1172088.0,1.4445,0.0,13,13,13,13,37,39,38,13
14,2016,4357251.53529,50000.0,4407251.53529,2356000.0,1266888.0,1089112.0,1092088.0,1292088.0,2.5,31.8,14,14,14,14,40,42,41,14
15,2014,498639.511604,683000.0,1181639.5116,2545000.0,2447188.0,97812.0,118312.0,183312.0,2.4445,31.9,15,15,15,15,43,45,44,15
16,2016,11478232.7039,0.0,11478232.7039,5950000.0,2838000.0,3112000.0,3112085.0,3164085.0,3.0555,28.7,16,16,16,16,46,48,47,16
17,2014,1129201.81289,125000.0,1254201.81289,1606000.0,1460089.0,145911.0,150240.0,330240.0,2.77783333333,31.2,17,17,17,17,49,51,50,17
18,2015,2701257.24514,0.0,2701257.24514,1606000.0,985500.0,620500.0,634500.0,784500.0,2.778,30.9,18,18,18,18,52,54,53,18
19,2016,2701257.24514,0.0,2701257.24514,1606000.0,985500.0,620500.0,634500.0,784500.0,2.778,30.9,19,19,19,19,55,57,56,19
20,2014,7324464.56001,0.0,7324464.56001,5761033.0,3784823.0,1976210.0,1989610.0,2279610.0,3.22233333333,28.1,20,20,20,20,58,60,59,20
21,2015,8390712.38207,0.0,8390712.38207,5761033.0,3784823.0,1976210.0,1989610.0,2279610.0,3.22233333333,28.1,21,21,21,21,61,63,62,21
22,2014,430266.124613,0.0,430266.124613,257793.0,93937.0,163856.0,163856.0,167456.0,2.1665,34.6,22,22,22,22,64,66,65,22
23,2015,1139126.86604,0.0,1139126.86604,650000.0,209411.0,440589.0,440589.0,440589.0,2.1665,34.3,23,23,23,23,67,69,68,23
24,2016,1163911.46324,0.0,1163911.46324,650000.0,289518.0,360482.0,360482.0,375482.0,2.27783333333,33.2,24,24,24,24,70,72,71,24
25,2014,18578025.3243,-23633.0,18554392.3243,4200000.0,1332300.0,2867700.0,2914000.0,5232772.0,2.778,29.6,25,25,25,25,73,75,74,25
26,2015,9041124.54991,-93013.0,8948111.54991,3452000.0,1330388.0,2121612.0,2548027.0,2773027.0,2.889,29.8,26,26,26,26,76,78,77,26
27,2016,10479909.6707,-70028.13,10409881.5407,3554907.0,1327871.0,2227036.0,2404319.0,2704319.0,3.222,28.2,27,27,27,27,79,81,80,27
28,2014,1812286.46085,0.0,1812286.46085,640272.0,640272.0,0.0,27446.83,506819.9,2.9445,29.3,28,28,28,28,82,84,83,28
29,2016,1750274.61731,350000.0,2100274.61731,713544.0,406000.0,307544.0,317544.0,557544.0,3.11133333333,29.1,29,29,29,29,85,87,86,29
30,2017,1290811.70643,350000.0,1640811.70643,624683.0,406000.0,218683.0,228683.0,468683.0,3.11133333333,29.1,30,30,30,30,88,90,89,30
