id,firmannualreportid,ispassive,isadvisor,age,ownershippercent,yearjoinedfirm
1,1,False,True,71.0,50.0,1986.0
2,1,False,True,69.0,50.0,1998.0
3,2,False,True,56.0,100.0,1996.0
4,3,False,True,56.0,100.0,1996.0
5,4,False,True,78.0,100.0,1985.0
6,5,False,True,78.0,50.0,1985.0
7,5,False,True,45.0,25.0,1999.0
8,5,True,False,66.0,25.0,2010.0
9,6,False,True,78.0,75.0,1985.0
10,6,False,True,45.0,23.0,1999.0
11,6,False,True,23.0,1.0,2017.0
12,6,True,False,24.0,1.0,2016.0
13,7,False,True,59.0,80.0,1994.0
14,7,False,False,45.0,20.0,2004.0
15,8,False,True,36.0,26.0,2009.0
16,8,False,True,35.0,26.0,2010.0
17,8,False,False,55.0,26.0,2015.0
18,8,False,False,57.0,7.0,2015.0
19,8,False,True,40.0,12.5,2015.0
20,9,False,True,36.0,29.0,2009.0
21,9,False,True,35.0,29.0,2010.0
22,9,False,False,55.0,29.0,2015.0
23,9,False,False,57.0,7.0,2015.0
24,9,False,True,40.0,12.5,2015.0
25,9,False,False,36.0,1.0,2010.0
26,10,False,True,44.0,50.0,2009.0
27,10,False,False,57.0,50.0,2013.0
28,11,False,True,57.0,100.0,2004.0
29,12,False,True,69.0,100.0,1980.0
30,13,False,True,51.0,100.0,1980.0
31,14,False,True,69.0,33.33,1999.0
32,14,False,True,60.0,33.33,1999.0
33,14,False,True,43.0,16.67,1999.0
34,15,False,False,65.0,70.0,2003.0
35,15,False,True,45.0,30.0,2008.0
36,16,False,True,69.0,25.0,2003.0
37,16,False,True,60.0,25.0,2003.0
38,16,False,True,53.0,25.0,2003.0
39,16,False,True,43.0,13.0,2003.0
40,17,False,True,69.0,60.0,2003.0
41,17,False,True,60.0,40.0,2003.0
42,18,False,True,69.0,60.0,2003.0
43,18,False,True,60.0,40.0,2003.0
44,19,True,False,55.0,29.0,2001.0
45,19,False,True,50.0,28.0,2001.0
46,19,False,False,45.0,7.0,2001.0
47,20,True,False,55.0,29.0,2001.0
48,20,False,True,50.0,28.0,2001.0
49,20,False,False,45.0,7.0,2001.0
50,21,False,False,70.0,100.0,1994.0
51,22,False,True,70.0,100.0,1994.0
52,23,False,True,62.0,100.0,1994.0
53,24,False,True,38.0,70.0,2004.0
54,24,False,True,46.0,30.0,2004.0
55,25,False,True,39.0,70.0,2004.0
56,25,False,True,47.0,30.0,2004.0
57,26,False,True,40.0,70.0,1999.0
58,26,False,True,48.0,30.0,2004.0
59,27,False,True,60.0,45.0,1989.0
60,27,False,True,68.0,45.0,1989.0
61,27,False,True,27.0,10.0,2014.0
62,28,False,True,62.0,43.5,1977.0
63,28,False,True,70.0,43.5,1981.0
64,28,False,True,29.0,13.0,2014.0
65,29,False,True,62.0,43.5,1977.0
66,29,False,True,70.0,43.5,1981.0
67,29,False,True,29.0,13.0,2014.0
68,30,False,True,62.0,50.0,2011.0
69,30,False,True,51.0,50.0,2011.0
70,31,False,True,58.0,50.0,2007.0
71,31,False,True,57.0,50.0,2007.0
72,32,False,True,36.0,100.0,2007.0
73,33,False,True,55.0,100.0,1990.0
74,34,False,True,55.0,100.0,1982.0
75,35,False,True,70.0,100.0,2002.0
76,36,True,True,55.0,100.0,2003.0
77,37,False,True,35.0,50.0,2011.0
78,37,False,True,54.0,25.0,2011.0
